Name,Business & Consumer Services,Business Serv.,Computer Software,Enterprise IT,Financial Services,Government, Education & Public Services,Manufacturing,Other,Professional Services,Software & Internet,Telecommunications,Wholesale & Distribution,
Sirti S.p.A.,0,0,0,0,0,0,0,0,0,0,1,0,
SoftwareOne,0,1,0,0,0,0,0,0,0,0,0,0,
Soluzioni Futura,0,0,0,0,0,0,0,0,0,1,0,0,
Sopra Steria,1,0,0,0,0,0,0,0,0,0,0,0,
SORINT.lab S.p.A.,0,0,0,0,0,0,0,0,0,1,0,0,
Spindox SPA,0,0,0,0,0,0,0,0,0,1,0,0,
T.A.I. Software Solution Srl,0,0,0,0,0,0,0,0,0,1,0,0,
Talend  Inc.,0,0,0,0,0,0,0,0,0,1,0,0,
TD SYNNEX Corporation,0,0,0,0,0,0,0,0,0,1,0,0,
Teleperformance,1,0,0,0,0,0,0,0,0,0,0,0,
Teradata,0,0,0,0,0,0,0,0,0,1,0,0,
Thoughtworks,1,0,0,0,0,0,0,0,0,0,0,0,
TIM,0,0,0,0,0,0,0,0,0,0,1,0,
Trend Micro Incorporated,0,0,0,0,0,0,0,0,0,1,0,0,
VAR Group S.p.A.,0,0,0,0,0,0,0,0,0,1,0,0,
VMengine-ITDM,0,0,0,0,0,0,0,0,0,1,0,0,
VTEX,0,0,0,0,0,0,0,0,0,1,0,0,
Web Site srl,0,0,1,0,0,0,0,0,0,0,0,0,
